t	c	id	v
participateojt_archive	userid	160597	3762
participateojt_archive	userid	160641	3762
participateojt_archive	userid	160684	3762
participateojt_archive	userid	160725	3762
participateojt_archive	userid	160766	3762
participateojt_archive	userid	256079	4516
participateojt_archive	userid	258570	4516
participateojt_archive	userid	258571	4516
participateojt_archive	userid	258588	4516
participateojt_archive	userid	258589	4516
participateojt_archive	userid	258607	4516
participateojt_archive	userid	258608	4516
participateojt_archive	userid	258626	4516
participateojt_archive	userid	258627	4516
